group,value
1,1.197149464
1,0.492910454
1,0.802727804
1,1.126296481
1,0.560691196
1,0.823074335
1,0.437352006
1,1.545741195
1,0.940828916
1,0.349146353
1,0.993474998
1,1.359488205
2,29.40877916
2,37.2740502
2,32.36936537
2,36.93830216
2,29.51533275
2,50.43732316
2,35.05222982
2,27.38229117
2,23.69745561
2,26.7880103
2,25.42275263
2,28.12725692
3,39.67283784
3,56.29915629
3,23.99258108
3,51.70050676
3,44.66351118
3,51.20428251
3,39.19501471
3,60.3656123
3,5.588880632
3,33.0951577
3,32.01801212
3,50.28293041
4,40.09665812
4,42.63502958
4,50.60127938
4,49.50931963
4,50.08246684
4,64.20205943
4,43.05737834
4,67.60513818
4,39.47693066
4,57.81411241
4,78.72316951
4,62.19555362
5,21.75190924
5,50.43482654
5,82.86186413
5,69.68047424
5,38.64923183
5,55.91825381
5,95.30558074
5,77.46750981
5,55.54998427
5,59.92125194
5,48.34388146
5,65.89881571
6,42.92444246
6,80.84263724
6,78.63982843
6,73.34920223
6,54.81603176
6,87.59231969
6,111.6127485
6,86.69178446
6,51.84017023
6,84.71877609
6,66.36553719
6,58.41490675
7,55.53082388
7,86.39160157
7,75.38195059
7,67.0446414
7,51.78772449
7,68.24903884
7,114.5674334
7,46.60157335
7,48.78077351
7,77.09638458
7,72.43179056
7,53.27142655
