nt_cluster,uniport_cluster
Cluster-99923.0_TRINITY_DN195388_c3_g1,Cluster-99944.0_TRINITY_DN192143_c0_g1
Cluster-99892.1_TRINITY_DN203904_c4_g2,Cluster-99924.0_TRINITY_DN203691_c0_g3
Cluster-99892.0_TRINITY_DN209345_c6_g1,Cluster-99923.0_TRINITY_DN195388_c3_g1
Cluster-99834.0_TRINITY_DN208529_c1_g2,Cluster-99834.0_TRINITY_DN208529_c1_g2
Cluster-99821.0_TRINITY_DN137948_c0_g1,Cluster-99821.0_TRINITY_DN137948_c0_g1
Cluster-99815.3_TRINITY_DN196162_c0_g1,Cluster-99815.1_TRINITY_DN201568_c0_g1
Cluster-99815.2_TRINITY_DN196162_c0_g1,Cluster-99803.0_TRINITY_DN206134_c0_g1
Cluster-99815.1_TRINITY_DN201568_c0_g1,Cluster-99664.0_TRINITY_DN210266_c0_g3
Cluster-99803.0_TRINITY_DN206134_c0_g1,Cluster-99660.0_TRINITY_DN199148_c8_g2
Cluster-99777.0_TRINITY_DN195720_c4_g1,Cluster-99613.0_TRINITY_DN199910_c2_g2
Cluster-99683.0_TRINITY_DN146373_c1_g1,Cluster-99571.0_TRINITY_DN207744_c1_g1
Cluster-99679.0_TRINITY_DN198723_c1_g3,Cluster-99543.0_TRINITY_DN201885_c1_g3
Cluster-99660.0_TRINITY_DN199148_c8_g2,Cluster-99527.0_TRINITY_DN203657_c0_g4
Cluster-9963.0_TRINITY_DN195152_c6_g1,Cluster-99498.0_TRINITY_DN176303_c2_g1
Cluster-99616.0_TRINITY_DN206556_c2_g1,Cluster-9946.0_TRINITY_DN21179_c0_g1
Cluster-99613.0_TRINITY_DN199910_c2_g2,Cluster-99353.0_TRINITY_DN203335_c0_g1
Cluster-99602.0_TRINITY_DN192754_c0_g2,Cluster-99349.0_TRINITY_DN200659_c0_g2
Cluster-99571.0_TRINITY_DN207744_c1_g1,Cluster-99320.1_TRINITY_DN207908_c0_g3
Cluster-99543.0_TRINITY_DN201885_c1_g3,Cluster-99250.0_TRINITY_DN207977_c5_g4
Cluster-99534.3_TRINITY_DN208783_c2_g2,Cluster-99011.0_TRINITY_DN208422_c2_g1
Cluster-99527.0_TRINITY_DN203657_c0_g4,Cluster-98950.0_TRINITY_DN201392_c8_g1
Cluster-99522.0_TRINITY_DN199600_c6_g1,Cluster-98787.0_TRINITY_DN206175_c2_g2
Cluster-99503.2_TRINITY_DN202042_c0_g1,Cluster-98777.0_TRINITY_DN209077_c1_g1
Cluster-99498.0_TRINITY_DN176303_c2_g1,Cluster-98627.1_TRINITY_DN204099_c1_g2
Cluster-99482.1_TRINITY_DN198610_c5_g1,Cluster-98492.0_TRINITY_DN194544_c0_g1
Cluster-99442.5_TRINITY_DN208552_c3_g2,Cluster-98455.0_TRINITY_DN210256_c5_g1
Cluster-99442.4_TRINITY_DN208552_c3_g1,Cluster-98426.0_TRINITY_DN201377_c2_g1
Cluster-99442.2_TRINITY_DN196208_c6_g1,Cluster-98337.1_TRINITY_DN204610_c1_g1
Cluster-99442.1_TRINITY_DN196208_c6_g1,Cluster-98239.0_TRINITY_DN203649_c4_g2
