nt_cluster,uniport_cluster
Cluster-110574.2_TRINITY_DN199271_c4_g1,Cluster-83719.0_TRINITY_DN211283_c5_g2
Cluster-97831.2_TRINITY_DN198234_c1_g3,Cluster-46444.0_TRINITY_DN211283_c4_g7
Cluster-84897.1_TRINITY_DN202462_c1_g1,Cluster-53036.1_TRINITY_DN208970_c1_g2
Cluster-107642.1_TRINITY_DN201356_c1_g2,Cluster-61668.3_TRINITY_DN198394_c0_g1
Cluster-97886.0_TRINITY_DN211013_c1_g4,Cluster-34380.1_TRINITY_DN208861_c2_g1
Cluster-86146.0_TRINITY_DN201465_c8_g1,Cluster-61668.2_TRINITY_DN198394_c0_g1
Cluster-110196.1_TRINITY_DN199208_c2_g2,Cluster-92584.0_TRINITY_DN199149_c0_g6
Cluster-110196.0_TRINITY_DN199208_c2_g2,Cluster-61668.0_TRINITY_DN198394_c0_g5
Cluster-106227.0_TRINITY_DN200216_c3_g2,Cluster-73760.0_TRINITY_DN196169_c0_g1
Cluster-107057.4_TRINITY_DN208754_c3_g1,Cluster-90932.1_TRINITY_DN210973_c2_g2
Cluster-90932.1_TRINITY_DN210973_c2_g2,Cluster-87919.0_TRINITY_DN198002_c0_g2
Cluster-90932.3_TRINITY_DN197639_c7_g1,Cluster-94582.0_TRINITY_DN206028_c0_g5
Cluster-88547.0_TRINITY_DN83837_c0_g1,Cluster-55729.3_TRINITY_DN211075_c2_g2
Cluster-5958.4_TRINITY_DN195122_c1_g1,Cluster-91336.0_TRINITY_DN204449_c2_g1
Cluster-66426.0_TRINITY_DN198321_c0_g1,Cluster-90625.1_TRINITY_DN210979_c0_g2
Cluster-18452.182_TRINITY_DN210059_c1_g4,Cluster-107254.0_TRINITY_DN208129_c5_g2
Cluster-84139.23_TRINITY_DN210880_c4_g1,Cluster-80020.1_TRINITY_DN206158_c2_g1
Cluster-52139.89_TRINITY_DN203649_c4_g7,Cluster-100987.0_TRINITY_DN200254_c2_g1
Cluster-34646.0_TRINITY_DN194897_c4_g1,Cluster-111178.2_TRINITY_DN200281_c0_g1
Cluster-55868.0_TRINITY_DN202661_c3_g2,Cluster-70840.0_TRINITY_DN209411_c1_g2
Cluster-58282.0_TRINITY_DN200702_c3_g2,Cluster-57121.1_TRINITY_DN193035_c1_g1
Cluster-104662.0_TRINITY_DN206844_c3_g2,Cluster-110626.4_TRINITY_DN210886_c2_g1
Cluster-113907.0_TRINITY_DN196776_c1_g1,Cluster-57121.5_TRINITY_DN208498_c2_g1
Cluster-69348.0_TRINITY_DN194695_c2_g1,Cluster-104411.1_TRINITY_DN204698_c0_g1
Cluster-99200.3_TRINITY_DN200387_c2_g2,Cluster-104411.0_TRINITY_DN204698_c0_g1
Cluster-99200.0_TRINITY_DN201958_c3_g1,Cluster-110626.3_TRINITY_DN210886_c2_g1
Cluster-96749.0_TRINITY_DN194532_c5_g2,Cluster-86057.0_TRINITY_DN206667_c0_g2
