CK,Cu
2.030440148,2.954002196
2.362090779,3.408906245
4.472718748,3.519921841
1.519970572,0
2.59557596,1.878639711
3.316480473,4.362138094
2.837748725,3.690206152
0.616294392,1.560583223
1.561969145,2.831204434
2.538929618,1.907106016
1.32478647,2.059929453
1.487209443,2.586253124
1.614384273,2.352238558
2.02652212,1.235010322
1.285029903,1.934537193
2.988577602,3.840713584
1.406125522,0
1.380687128,2.045084737
0.91920837,2.050932714
1.425581055,2.087543253
1.831295855,2.559241335
0,1.427275453
1.678508439,2.970420336
0,1.630764023
1.336038495,2.497581225
2.0169343,1.256850219
2.096599384,2.922921141
0.249627033,1.351313874
1.819712706,2.916007907
1.412976098,2.714991646
0.546669166,1.867082386
1.731967421,1.069143719
0.246158166,1.688120405
1.642255718,0.599688401
2.694533471,1.513113576
2.559603469,3.242258417
2.420153158,3.091498813
2.763024894,3.39333504
2.512265653,3.265124728
2.440431138,3.110708387
2.219539885,1.029199382
2.564107935,3.292759389
1.800339987,2.715739399
1.709513372,2.528136178
0.70243033,1.741646828
2.244814622,2.853524435
0.649766777,1.834284445
1.996320416,1.031148974
1.67317933,0.557350899
0,1.518946842
2.718305737,1.936040815
2.304467106,2.926826218
0.902112004,2.068834701
2.490099787,1.868926588
1.551851761,0
1.367001363,2.448374941
2.125665528,1.352965669
0.848662594,1.882533782
0,2.011404743
2.188411699,1.359507081
1.971446093,2.707620306
1.980845313,2.763787361
1.364798518,0
2.901167726,2.168036526
0.374731095,1.520498756
0.91994713,2.342248188
1.742166046,3.345967776
0,1.68875392
2.329128432,1.371249014
1.290909435,0
0,1.656174262
-0.537211165,1.598581795
1.725413244,2.503747491
2.579911405,1.947867484
1.164167032,2.160543444
0,1.383433288
1.04821353,1.878430895
0.423531996,2.475445553
-0.236181169,2.138665445
2.572567476,1.962839063
1.282437318,2.093695956
1.999055291,2.825517442
1.917043629,2.702079457
1.212395457,2.19221858
2.650920657,3.677211363
2.690474454,3.519075275
2.10118306,3.289404929
1.604145787,0.247506014
0,1.618808177
1.452583076,2.421075523
1.211906627,2.11559208
2.23842415,1.417814654
1.345893571,2.925379051
1.062297143,1.983623757
2.734953896,3.404898815
2.406131048,3.043437126
0,1.964381706
0,2.120448995
1.795693436,2.522102922
2.707189339,3.394212283
3.88664678,4.963114158
0.260515954,2.215762837
2.078908312,3.075860845
1.964460193,2.651997827
2.421221639,1.715298059
1.175344722,2.305982545
0.882752281,1.821263445
2.729964193,3.602352163
2.578425341,3.610269998
2.189649854,3.272989769
1.422723475,2.151336704
1.226917109,2.106561364
0,1.426341212
0,1.616918552
0,1.666007245
0,1.627581188
0.623859448,1.868693655
1.856499942,1.1839837
0.829148015,3.1028269
0.870886439,1.583536699
2.079331937,2.72563242
1.578082318,2.37214671
1.44214269,-0.500682248
2.431863544,1.353569548
2.483259986,1.64977147
2.401956709,1.761236693
0.16175884,2.619309449
3.942294004,4.654718872
1.506682567,3.006527822
0.916739449,2.661658059
1.957042733,2.58050119
1.114727949,2.231520837
2.739195908,1.798032533
2.772152756,1.905304573
0,1.79011207
-0.517635296,1.901220799
1.25174266,2.417756141
1.390421005,0.585677799
2.157231477,1.167536646
1.936800475,2.722172941
-0.051402962,1.727389179
1.725504557,3.037756994
0.178702867,1.824635618
0,1.671866429
3.407989806,2.777608704
3.206335633,2.589739139
3.428392202,2.796856049
3.253117383,2.502710934
1.162171149,2.102219552
3.374102307,2.724480932
0,1.947681842
2.446950544,3.149300658
1.425480565,2.652253468
1.940050329,2.610855022
1.296476204,1.95592886
2.06082308,2.914269289
1.841960484,2.478389112
1.593784288,2.505857726
2.008086794,1.057620809
2.097231155,3.516076931
2.421133041,3.210370166
0,1.444745667
2.89590161,2.195512709
2.736992699,2.069659554
1.2236751,2.340278815
2.223392678,1.455181384
1.736645836,2.41369323
1.704170012,3.113328803
0,1.408512282
1.753057578,2.653917389
3.873677758,2.823574177
1.081891898,1.977311881
1.990446583,2.740701091
0,1.626652975
1.416051185,2.142906715
2.364222056,3.37796808
2.088003678,0
2.703105949,3.363567444
2.400526138,3.045877888
1.880198408,0
1.309934771,2.179741656
