cluster,nt,uniport,"sig  (foldchange>|4|, padj<0.001)",,,,
Cluster-18452.172_TRINITY_DN201072_c3_g2,Z11763.1,,up,,,,
Cluster-83719.0_TRINITY_DN211283_c5_g2,XM_023457983.1,ACRS2_ALTAL,down,,,,
Cluster-101779.0_TRINITY_DN205254_c1_g1,XR_969969.1,ACR4L_ARATH,up,,,,
Cluster-106904.3_TRINITY_DN207944_c0_g1,XR_833729.2,,up,,,,
Cluster-6658.2_TRINITY_DN208441_c3_g2,XR_753652.2,,up,,,,
Cluster-15716.10_TRINITY_DN207056_c6_g1,XR_723384.2,,up,,,,
Cluster-52604.2_TRINITY_DN209481_c3_g1,XR_419299.3,,up,,,,
Cluster-21415.0_TRINITY_DN194409_c2_g4,XR_003408563.1,,up,,,,
Cluster-64365.222_TRINITY_DN200906_c0_g1,XR_003016462.1,,up,,,,
Cluster-107642.0_TRINITY_DN201356_c1_g2,XR_003009847.1,,up,,,,
Cluster-107477.2_TRINITY_DN200806_c1_g3,XR_002981352.1,ACR4L_ARATH,up,,,,
Cluster-46444.0_TRINITY_DN211283_c4_g7,XM_017630879.1,ACRS2_ALTAL,down,,,,
Cluster-113508.7_TRINITY_DN204685_c0_g1,XR_002688672.1,,up,,,,
Cluster-104810.0_TRINITY_DN209540_c0_g1,XR_002562092.1,,up,,,,
Cluster-95687.0_TRINITY_DN202728_c0_g7,XR_002528024.1,,up,,,,
Cluster-104043.0_TRINITY_DN196977_c0_g1,XR_002445012.1,,up,,,,
Cluster-105549.0_TRINITY_DN197227_c0_g3,XR_002243993.1,A1131_ARTBC,up,,,,
Cluster-37773.87_TRINITY_DN192522_c2_g4,XR_002140266.1,,up,,,,
Cluster-106936.8_TRINITY_DN193928_c3_g1,XR_002036220.1,,up,,,,
Cluster-107026.0_TRINITY_DN199148_c8_g1,XR_001673083.1,,up,,,,
Cluster-102939.12_TRINITY_DN203733_c2_g1,XR_001535751.2,9DC3_SOLPI,up,,,,
Cluster-108341.0_TRINITY_DN203534_c1_g4,XR_001172387.1,,up,,,,
Cluster-64365.793_TRINITY_DN197813_c6_g2,XM_961086.2,AATPI_ARATH,up,,,,
Cluster-8028.1_TRINITY_DN187570_c2_g2,XM_956421.3,,up,,,,
Cluster-8028.0_TRINITY_DN187570_c2_g2,XM_956421.3,,up,,,,
Cluster-10408.0_TRINITY_DN195884_c3_g3,XM_841048.1,,up,,,,
Cluster-15226.0_TRINITY_DN199518_c4_g3,XM_817686.1,,up,,,,
Cluster-9217.1_TRINITY_DN206762_c2_g4,XM_814957.1,,up,,,,
Cluster-53036.1_TRINITY_DN208970_c1_g2,XM_004432882.2,ACRS2_ALTAL,down,,,,
Cluster-61668.3_TRINITY_DN198394_c0_g1,XM_026438785.1,ACRO_SHEEP,down,,,,
Cluster-12921.0_TRINITY_DN194136_c8_g2,XM_812796.1,,up,,,,
Cluster-27398.0_TRINITY_DN197566_c4_g1,XM_807207.1,,up,,,,
Cluster-34380.1_TRINITY_DN208861_c2_g1,XM_026438785.1,ACRO_SHEEP,down,,,,
Cluster-9252.0_TRINITY_DN207860_c3_g1,XM_806833.1,,up,,,,
Cluster-61668.2_TRINITY_DN198394_c0_g1,FJ904937.1,ACRO_SHEEP,down,,,,
Cluster-28291.0_TRINITY_DN193203_c6_g6,XM_805608.1,,up,,,,
Cluster-6678.0_TRINITY_DN169720_c0_g1,XM_803350.1,,up,,,,
Cluster-64365.65_TRINITY_DN205026_c13_g1,XM_670856.2,,up,,,,
Cluster-2159.0_TRINITY_DN193716_c0_g1,XM_658227.1,,up,,,,
Cluster-96766.0_TRINITY_DN207232_c1_g6,XM_642732.1,,up,,,,
Cluster-30245.0_TRINITY_DN209008_c2_g1,XM_641116.1,,up,,,,
Cluster-92584.0_TRINITY_DN199149_c0_g6,,ACRO_SHEEP,down,,,,
Cluster-50287.0_TRINITY_DN202470_c3_g3,XM_630291.1,,up,,,,
Cluster-37773.71_TRINITY_DN198884_c3_g3,XM_319309.4,,up,,,,
Cluster-37773.34_TRINITY_DN194225_c1_g2,XM_319309.4,,up,,,,
Cluster-44635.0_TRINITY_DN197681_c4_g1,XM_316550.4,,up,,,,
Cluster-61668.0_TRINITY_DN198394_c0_g5,,ACRO_SHEEP,down,,,,
Cluster-73760.0_TRINITY_DN196169_c0_g1,,ACRO_HUMAN,down,,,,
Cluster-5024.1_TRINITY_DN205443_c2_g3,XM_312034.5,,up,,,,
Cluster-13054.0_TRINITY_DN200091_c11_g1,XM_027046113.1,,up,,,,
Cluster-12374.0_TRINITY_DN194130_c11_g1,XM_027020759.1,,up,,,,
Cluster-64365.1230_TRINITY_DN69270_c0_g1,XM_027002348.1,,up,,,,
Cluster-51662.0_TRINITY_DN197639_c2_g1,XM_026983042.1,,up,,,,
Cluster-90932.1_TRINITY_DN210973_c2_g2,XR_002106592.1,ACR4L_ARATH,down,,,,
Cluster-108839.0_TRINITY_DN205074_c3_g1,XM_026806640.1,,up,,,,
Cluster-2333.0_TRINITY_DN196886_c2_g2,XM_026770168.1,,up,,,,
Cluster-87919.0_TRINITY_DN198002_c0_g2,XM_026592612.1,ACR4L_ARATH,down,,,,
Cluster-94582.0_TRINITY_DN206028_c0_g5,XM_025128769.1,ACR4L_ARATH,down,,,,
Cluster-78568.1_TRINITY_DN195246_c1_g1,XM_026754415.1,,up,,,,
Cluster-65683.0_TRINITY_DN200291_c2_g1,XM_026709411.1,,up,,,,
Cluster-101745.2_TRINITY_DN203427_c4_g1,XM_026660912.1,ABT1_PONAB,up,,,,
Cluster-64365.201_TRINITY_DN210328_c3_g2,XM_026599604.1,,up,,,,
Cluster-102792.1_TRINITY_DN201572_c6_g3,XM_026590047.1,,up,,,,
Cluster-55729.3_TRINITY_DN211075_c2_g2,XM_024778156.1,ACR4L_ARATH,down,,,,
Cluster-103609.3_TRINITY_DN210361_c3_g1,XM_026586469.1,AAT_THEMA,up,,,,
Cluster-219.7_TRINITY_DN211182_c3_g1,XM_026582941.1,AB13B_ARATH,up,,,,
Cluster-98777.0_TRINITY_DN209077_c1_g1,XM_026581765.1,AAPK2_PONAB,up,,,,
Cluster-91336.0_TRINITY_DN204449_c2_g1,XM_024064722.1,ACR4L_ARATH,down,,,,
Cluster-108192.0_TRINITY_DN208137_c0_g1,XM_026579443.1,ABR1_ARATH,up,,,,
Cluster-334.0_TRINITY_DN192387_c8_g1,XM_026566981.1,,up,,,,
Cluster-64365.968_TRINITY_DN200680_c12_g1,XM_026566613.1,,up,,,,
Cluster-64365.517_TRINITY_DN200856_c5_g1,XM_026558682.1,,up,,,,
Cluster-86859.2_TRINITY_DN205914_c0_g1,XM_026556642.1,,up,,,,
