y1,y2
XM_025963288.1,21KD_DAUCA
KJ439053.1,21KD_DAUCA
KJ439053.1,ACH92_ONCMY
KJ439053.1,ACH92_ONCMY
XM_022056355.1,ACH92_ONCMY
XM_018968571.1,A16L1_MOUSE
XM_009371458.2,A16L1_MOUSE
XM_024024540.1,A16L1_MOUSE
XM_007046725.2,A16L1_MOUSE
XM_007046725.2,172L_IIV6
XM_021829779.1,172L_IIV6
XM_021829779.1,AAMT3_MAIZE
XM_021829779.1,A1CF_MOUSE
XM_021748379.1,A1CF_MOUSE
XM_021748379.1,A16L1_HUMAN
XM_024024540.1,ACR4L_ARATH
XM_018319263.1,ACR4L_ARATH
XM_023013716.1,AB13C_ARATH
XM_017583959.1,AB13C_ARATH
XM_017583959.1,AB13C_ARATH
XM_023013716.1,AB13C_ARATH
XM_009382669.2,AB13C_ARATH
XM_022031363.1,AB13C_ARATH
XM_022031363.1,AB13C_ARATH
XM_022031363.1,AB13C_ARATH
AJ305329.1,AB13C_ARATH
XM_022123307.1,AB13C_ARATH
XM_002274177.4,AB13C_ARATH
LT795067.1,AB13C_ARATH
NM_152419.3,AB13C_ARATH
XM_024027963.1,AB13C_ARATH
XM_008366513.2,AB13C_ARATH
XM_008366513.2,AB13C_ARATH
XM_012923356.3,AB13C_ARATH
XM_017376958.1,AB13C_ARATH
XM_001693291.1,AB13C_ARATH
CP024894.1,AB13C_ARATH
XM_008609287.1,AB13C_ARATH
CP019856.1,AB13C_ARATH
XM_017374348.1,AB13C_ARATH
XM_017374348.1,AB13C_ARATH
XM_017370537.1,AB13C_ARATH
XM_017370537.1,AB13C_ARATH
XM_017370537.1,AB13C_ARATH
XM_017370537.1,AB13C_ARATH
XM_017370537.1,AB13C_ARATH
XM_017370537.1,AB13C_ARATH
XM_017370537.1,AB13C_ARATH
XM_017370537.1,AB13C_ARATH
XM_017370537.1,AB13C_ARATH
XM_017370537.1,AB13C_ARATH
XM_017370537.1,AB13C_ARATH
XM_013898625.1,AB13C_ARATH
XM_013898625.1,AB13C_ARATH
XM_967812.4,AB13C_ARATH
XM_012620823.1,AB13C_ARATH
JQ001321.1,AB13C_ARATH
AK252334.1,AB13C_ARATH
AK252334.1,AB13C_ARATH
XM_027043549.1,AB13C_ARATH
XM_027043549.1,AB13C_ARATH
LR031569.1,AB13C_ARATH
XM_024057826.1,AB13C_ARATH
XM_024057826.1,AB13C_ARATH
XM_024057826.1,AB13C_ARATH
XM_021780567.1,AB13C_ARATH
XM_021780567.1,AB13C_ARATH
HG975448.1,AB13C_ARATH
CP027625.1,AB13C_ARATH
XM_018123710.1,AB13C_ARATH
XM_024301271.1,AB13C_ARATH
XM_018123710.1,AB13C_ARATH
XM_001694868.1,AB13C_ARATH
XM_003629563.3,AB13C_ARATH
XM_022114142.1,AB13C_ARATH
XM_016703084.1,AB13C_ARATH
XM_019381292.1,AB13C_ARATH
XM_017782204.1,AB13C_ARATH
XM_018116090.1,AB13C_ARATH
XM_016703084.1,AB13C_ARATH
XM_019381292.1,AB13C_ARATH
LT907982.1,AB13C_ARATH
XM_011657259.1,AB13C_ARATH
D50017.2,ABCGO_DICDI
XM_017365275.1,9DC2_SOLPI
XM_017365275.1,9DC2_SOLPI
CP011515.1,9DC2_SOLPI
CP024645.1,9DC2_SOLPI
CP000089.1,9DC3_SOLPI
CP000089.1,9DC3_SOLPI
XM_009633010.2,9DC3_SOLPI
XM_021796748.1,9DC3_SOLPI
XM_017373969.1,9DC3_SOLPI
XM_007769615.1,9DC3_SOLPI
AM487579.2,9DC3_SOLPI
XM_024863947.1,9DC3_SOLPI
XM_024863947.1,9DC3_SOLPI
XM_021827535.1,9DC3_SOLPI
CP001804.1,9DC3_SOLPI
CP001804.1,9DC3_SOLPI
XM_011392796.1,9DC3_SOLPI
XM_016906376.1,9DC3_SOLPI
XM_025093490.1,9DC3_SOLPI
XM_025093489.1,9DC3_SOLPI
XR_003062717.1,9DC3_SOLPI
XM_025093490.1,9DC3_SOLPI
XM_025093489.1,9DC3_SOLPI
XM_025093489.1,9DC3_SOLPI
XM_025093489.1,9DC3_SOLPI
CP003358.1,9DC3_SOLPI
XM_023141796.1,9DC3_SOLPI
XM_023141796.1,9DC3_SOLPI
XM_023141796.1,9DC3_SOLPI
XM_009337704.2,9DC3_SOLPI
XM_008468305.2,9DC3_SOLPI
XM_009337704.2,9DC3_SOLPI
XM_017562872.1,9DC3_SOLPI
XM_017562872.1,9DC3_SOLPI
CP018167.1,9DC3_SOLPI
CP018167.1,9DC3_SOLPI
CP018167.1,9DC3_SOLPI
CP018167.1,9DC3_SOLPI
CP018167.1,AB13C_ARATH
CP018167.1,AAPK1_PONAB
CP018167.1,AAPK1_PONAB
CP018167.1,AAPK1_PONAB
CP018167.1,AAPK2_CAEEL
CP018167.1,AAPK2_CAEEL
CP018167.1,AAPK1_MOUSE
CP018167.1,AAPK2_CAEEL
